,zip.code,type,num.beds,num.baths,living.area,lot.area,KitchenSqFt,masterbedroomSqFt,age.of.home,myresponse
193,2127,Condo/Townhome/Row Home/Co-Op,2,2,1031,0.023668503,144,165,119,690000
194,2127,Condo/Townhome/Row Home/Co-Op,1,1,579,0.013292011,144,209,114,495000
195,2127,Condo/Townhome/Row Home/Co-Op,2,2,1207,0,100,144,119,819000
196,2127,Condo/Townhome/Row Home/Co-Op,3,2,1521,0,256,169,2,1128000
197,2127,Condo/Townhome/Row Home/Co-Op,1,1,518,0.011891644,81,143,129,518000
198,2127,Single Family Home,4,2.5,1385,0,81,180,25,875000
199,2127,Condo/Townhome/Row Home/Co-Op,2,2,1300,0,100,231,113,925000
200,2127,Condo/Townhome/Row Home/Co-Op,3,2.5,1676,0,400,266,0,1320000
201,2127,Condo/Townhome/Row Home/Co-Op,2,2,925,0,100,195,6,715000
202,2127,Condo/Townhome/Row Home/Co-Op,2,2,1200,0,100,140,2,999900
203,2127,Condo/Townhome/Row Home/Co-Op,2,2,911,0,169,180,139,575000
204,2127,Condo/Townhome/Row Home/Co-Op,2,1,790,0,64,132,30,515000
205,2128,Condo/Townhome/Row Home/Co-Op,3,2.5,1703,0,169,143,1,699000
206,2128,Condo/Townhome/Row Home/Co-Op,2,2,1018,0,484,272,13,575000
207,2128,Condo/Townhome/Row Home/Co-Op,2,2.5,1579,0.036248852,361,240,96,605000
208,2128,Condo/Townhome/Row Home/Co-Op,1,1,742,0,144,196,109,435000
209,2128,Condo/Townhome/Row Home/Co-Op,1,1,468,0,169,117,119,309000
210,2128,Condo/Townhome/Row Home/Co-Op,2,2,950,0,144,144,119,595000
211,2128,Condo/Townhome/Row Home/Co-Op,2,2,997,0,100,132,1,599900
212,2128,Single Family Home,2,1,1177,0.037304867,225,154,135,450000
213,2128,Single Family Home,4,1,1440,0.032139578,361,176,99,382000
214,2128,Condo/Townhome/Row Home/Co-Op,2,1.5,1014,0,64,192,37,407000
215,2128,Condo/Townhome/Row Home/Co-Op,2,1,809,0,100,176,119,483384
216,2128,Condo/Townhome/Row Home/Co-Op,1,1,731,0,100,228,0,5.00E+05
217,2128,Condo/Townhome/Row Home/Co-Op,3,2.5,1663,0,196,180,0,745000
218,2128,Condo/Townhome/Row Home/Co-Op,1,1,760,0,100,120,1,499900
219,2128,Condo/Townhome/Row Home/Co-Op,2,1,860,0,121,182,109,489000
220,2128,Condo/Townhome/Row Home/Co-Op,3,1,923,0,100,154,119,499000
221,2128,Condo/Townhome/Row Home/Co-Op,3,2.5,1703,0,169,143,1,730500
222,2128,Condo/Townhome/Row Home/Co-Op,2,1,746,0,100,100,1,545000
223,2128,Condo/Townhome/Row Home/Co-Op,1,1,731,0,100,228,1,5.00E+05
224,2128,Condo/Townhome/Row Home/Co-Op,3,2.5,1703,0,169,143,1,699000
225,2128,Condo/Townhome/Row Home/Co-Op,2,2,1144,0,81,165,119,660000
226,2128,Condo/Townhome/Row Home/Co-Op,2,2,800,0,64,72,119,525000
227,2128,Condo/Townhome/Row Home/Co-Op,2,2,1045,0,361,225,119,540000
228,2128,Condo/Townhome/Row Home/Co-Op,3,1,798,0,100,154,119,483000
229,2128,Condo/Townhome/Row Home/Co-Op,1,1,755,0,144,168,109,454000
230,2128,Condo/Townhome/Row Home/Co-Op,2,2,1018,0,64,120,1,625000
231,2128,Condo/Townhome/Row Home/Co-Op,2,2,940,0,144,144,119,577500
232,2128,Condo/Townhome/Row Home/Co-Op,2,2,1305,0,225,198,1,760000
233,2128,Condo/Townhome/Row Home/Co-Op,3,1,915,0,169,192,119,440000
234,2128,Single Family Home,2,1.5,1296,0.103305785,121,130,86,545000
235,2128,Condo/Townhome/Row Home/Co-Op,2,2,1025,0,169,308,3,585000
236,2128,Condo/Townhome/Row Home/Co-Op,2,1,791,0,100,154,119,462000
237,2128,Condo/Townhome/Row Home/Co-Op,2,2,1142,0,144,200,0,727000
238,2128,Single Family Home,2,2,1017,0.020087236,256,192,119,755500
239,2128,Condo/Townhome/Row Home/Co-Op,2,2,992,0,324,192,1,589000
240,2128,Condo/Townhome/Row Home/Co-Op,2,2,1055,0,169,224,0,669000
241,2128,Condo/Townhome/Row Home/Co-Op,3,2.5,1703,0,169,143,1,720000
242,2128,Condo/Townhome/Row Home/Co-Op,2,2,1080,0,169,240,0,664000
243,2128,Condo/Townhome/Row Home/Co-Op,2,2,974,0,121,182,140,555000
244,2128,Condo/Townhome/Row Home/Co-Op,3,2,1217,0.027938476,144,182,119,441500
245,2128,Condo/Townhome/Row Home/Co-Op,3,2.5,1703,0,169,143,1,749000
246,2128,Condo/Townhome/Row Home/Co-Op,2,2,902,0,441,132,119,565000
247,2128,Condo/Townhome/Row Home/Co-Op,3,2,986,0,196,204,119,485000
248,2128,Condo/Townhome/Row Home/Co-Op,3,2,1417,0,144,210,7,580000
249,2128,Condo/Townhome/Row Home/Co-Op,3,2,1206,0,36,192,1,679900
